set,date,cm,sp
60,15/10/19,56,skj
60,15/10/19,53,skj
60,15/10/19,53,skj
60,15/10/19,51,skj
60,15/10/19,52,skj
60,15/10/19,49,skj
60,15/10/19,50,skj
60,15/10/19,50,skj
60,15/10/19,50,skj
60,15/10/19,52,skj
60,15/10/19,49,skj
60,15/10/19,55,skj
60,15/10/19,58,other
60,15/10/19,62,other
60,15/10/19,79,other
60,15/10/19,69,other
60,15/10/19,77,other
60,15/10/19,82,other
60,15/10/19,62,other
60,15/10/19,53,other
60,15/10/19,61,other
60,15/10/19,54,other
60,15/10/19,50,other
60,15/10/19,72,other
60,15/10/19,61,other
60,15/10/19,55,other
60,15/10/19,68,other
60,15/10/19,72,other
60,15/10/19,54,other
60,15/10/19,52,other
60,15/10/19,51,other
60,15/10/19,62,other
60,15/10/19,46,other
60,15/10/19,51,other
60,15/10/19,69,other
60,15/10/19,72,other
60,15/10/19,50,other
60,15/10/19,80,other
60,15/10/19,60,other
60,15/10/19,54,other
60,15/10/19,55,other
60,15/10/19,53,other
60,15/10/19,50,yft
60,15/10/19,56,yft
60,15/10/19,54,yft
60,15/10/19,60,yft
60,15/10/19,60,yft
60,15/10/19,61,yft
60,15/10/19,53,yft
60,15/10/19,56,yft
60,15/10/19,59,yft
60,15/10/19,73,yft
60,15/10/19,77,yft
60,15/10/19,80,yft
60,15/10/19,52,yft
60,15/10/19,69,yft
60,15/10/19,84,yft
60,15/10/19,53,yft
60,15/10/19,53,yft
60,15/10/19,73,yft
60,15/10/19,48,yft
69,19/10/19,52,skj
69,19/10/19,52,skj
69,19/10/19,43,skj
69,19/10/19,48,skj
69,19/10/19,54,skj
69,19/10/19,43,skj
69,19/10/19,52,skj
69,19/10/19,43,skj
69,19/10/19,45,skj
69,19/10/19,51,skj
69,19/10/19,45,skj
69,19/10/19,43,skj
69,19/10/19,46,skj
69,19/10/19,46,skj
69,19/10/19,46,skj
69,19/10/19,51,skj
69,19/10/19,43,skj
69,19/10/19,47,skj
69,19/10/19,44,skj
69,19/10/19,53,skj
69,19/10/19,51,skj
69,19/10/19,60,skj
69,19/10/19,53,skj
69,19/10/19,51,skj
69,19/10/19,48,skj
69,19/10/19,45,skj
69,19/10/19,49,skj
69,19/10/19,52,skj
69,19/10/19,52,skj
69,19/10/19,47,skj
69,19/10/19,45,skj
69,19/10/19,48,skj
69,19/10/19,50,skj
69,19/10/19,48,skj
69,19/10/19,51,skj
69,19/10/19,56,skj
69,19/10/19,46,skj
69,19/10/19,46,skj
69,19/10/19,50,skj
69,19/10/19,48,skj
69,19/10/19,54,skj
69,19/10/19,50,skj
69,19/10/19,49,skj
69,19/10/19,52,skj
69,19/10/19,47,skj
69,19/10/19,46,skj
69,19/10/19,49,skj
69,19/10/19,52,skj
69,19/10/19,47,skj
69,19/10/19,45,skj
69,19/10/19,47,skj
69,19/10/19,48,skj
69,19/10/19,45,skj
69,19/10/19,43,skj
69,19/10/19,49,skj
69,19/10/19,46,skj
69,19/10/19,52,skj
69,19/10/19,51,skj
69,19/10/19,48,skj
69,19/10/19,49,skj
69,19/10/19,42,skj
69,19/10/19,44,skj
69,19/10/19,51,skj
69,19/10/19,44,skj
69,19/10/19,44,skj
69,19/10/19,51,skj
69,19/10/19,49,skj
69,19/10/19,45,skj
69,19/10/19,50,skj
69,19/10/19,52,skj
69,19/10/19,46,skj
69,19/10/19,44,skj
69,19/10/19,48,skj
69,19/10/19,47,skj
69,19/10/19,44,skj
69,19/10/19,47,skj
69,19/10/19,45,skj
69,19/10/19,50,skj
69,19/10/19,44,skj
69,19/10/19,52,skj
69,19/10/19,46,skj
69,19/10/19,50,skj
69,19/10/19,51,skj
69,19/10/19,47,skj
69,19/10/19,64,skj
69,19/10/19,50,skj
69,19/10/19,43,skj
69,19/10/19,45,skj
69,19/10/19,49,skj
69,19/10/19,51,skj
69,19/10/19,54,skj
69,19/10/19,55,skj
69,19/10/19,44,skj
69,19/10/19,51,skj
69,19/10/19,46,skj
69,19/10/19,49,skj
69,19/10/19,45,skj
69,19/10/19,49,skj
69,19/10/19,45,skj
69,19/10/19,47,skj
69,19/10/19,42,skj
69,19/10/19,51,skj
69,19/10/19,47,skj
69,19/10/19,51,skj
69,19/10/19,48,skj
69,19/10/19,46,skj
69,19/10/19,55,skj
69,19/10/19,48,skj
69,19/10/19,48,skj
69,19/10/19,47,skj
69,19/10/19,45,skj
69,19/10/19,50,skj
69,19/10/19,50,skj
69,19/10/19,48,skj
69,19/10/19,47,skj
69,19/10/19,43,skj
69,19/10/19,48,skj
69,19/10/19,45,skj
69,19/10/19,42,skj
69,19/10/19,49,skj
69,19/10/19,44,skj
69,19/10/19,42,skj
69,19/10/19,48,skj
69,19/10/19,48,skj
69,19/10/19,49,skj
69,19/10/19,61,skj
69,19/10/19,45,skj
69,19/10/19,48,skj
69,19/10/19,50,skj
69,19/10/19,48,skj
69,19/10/19,47,skj
69,19/10/19,48,skj
69,19/10/19,47,skj
69,19/10/19,49,skj
69,19/10/19,48,skj
69,19/10/19,53,skj
69,19/10/19,45,skj
69,19/10/19,47,skj
69,19/10/19,45,skj
69,19/10/19,45,skj
69,19/10/19,42,skj
69,19/10/19,45,skj
69,19/10/19,44,skj
69,19/10/19,47,skj
69,19/10/19,47,skj
69,19/10/19,43,skj
69,19/10/19,48,skj
69,19/10/19,47,skj
69,19/10/19,41,skj
69,19/10/19,45,skj
69,19/10/19,44,skj
69,19/10/19,44,skj
69,19/10/19,45,skj
69,19/10/19,47,skj
69,19/10/19,52,skj
69,19/10/19,48,skj
69,19/10/19,44,skj
69,19/10/19,49,skj
69,19/10/19,48,skj
69,19/10/19,46,skj
69,19/10/19,45,skj
69,19/10/19,45,skj
69,19/10/19,45,skj
69,19/10/19,50,skj
69,19/10/19,45,skj
69,19/10/19,48,skj
69,19/10/19,45,skj
69,19/10/19,42,skj
69,19/10/19,45,skj
69,19/10/19,46,skj
69,19/10/19,44,skj
69,19/10/19,52,skj
69,19/10/19,49,skj
69,19/10/19,50,yft
69,19/10/19,57,yft
69,19/10/19,53,yft
69,19/10/19,71,yft
69,19/10/19,52,yft
69,19/10/19,49,yft
69,19/10/19,62,yft
69,19/10/19,53,yft
69,19/10/19,70,yft
69,19/10/19,52,yft
69,19/10/19,65,yft
69,19/10/19,42,yft
69,19/10/19,49,yft
69,19/10/19,51,yft
69,19/10/19,48,yft
69,19/10/19,57,yft
69,19/10/19,57,yft
69,19/10/19,51,yft
69,19/10/19,60,yft
69,19/10/19,46,yft
69,19/10/19,52,yft
69,19/10/19,50,yft
69,19/10/19,57,yft
69,19/10/19,45,yft
69,19/10/19,59,yft
69,19/10/19,55,yft
69,19/10/19,51,yft
69,19/10/19,40,yft
69,19/10/19,54,yft
69,19/10/19,58,yft
69,19/10/19,56,yft
69,19/10/19,61,yft
69,19/10/19,50,yft
69,19/10/19,47,yft
69,19/10/19,54,yft
69,19/10/19,50,yft
69,19/10/19,60,yft
69,19/10/19,49,yft
69,19/10/19,52,yft
69,19/10/19,49,yft
69,19/10/19,46,yft
69,19/10/19,54,yft
69,19/10/19,50,yft
69,19/10/19,50,yft
69,19/10/19,48,other
69,19/10/19,63,other
69,19/10/19,58,other
69,19/10/19,59,other
69,19/10/19,71,other
69,19/10/19,49,other
69,19/10/19,45,other
69,19/10/19,95,other
69,19/10/19,53,other
69,19/10/19,60,other
69,19/10/19,51,other
69,19/10/19,59,other
69,19/10/19,64,other
69,19/10/19,85,other
69,19/10/19,55,other
69,19/10/19,59,other
69,19/10/19,70,other
69,19/10/19,52,other
69,19/10/19,54,other
69,19/10/19,49,other
69,19/10/19,53,other
69,19/10/19,64,other
69,19/10/19,66,other
69,19/10/19,55,other
69,19/10/19,60,other
69,19/10/19,60,other
69,19/10/19,88,other
69,19/10/19,51,other
69,19/10/19,58,other
69,19/10/19,51,other
69,19/10/19,50,other
69,19/10/19,62,other
69,19/10/19,57,other
69,19/10/19,51,other
69,19/10/19,52,other
69,19/10/19,63,other
69,19/10/19,50,other
69,19/10/19,76,other
69,19/10/19,66,other
69,19/10/19,58,other
69,19/10/19,50,other
69,19/10/19,52,other
69,19/10/19,60,other
69,19/10/19,57,other
69,19/10/19,60,other
