"Resample";"modelo";"metrica";"valor"
"Fold1.Rep1";"gbm";"Accuracy";0.933579335793358
"Fold1.Rep2";"gbm";"Accuracy";0.940520446096654
"Fold1.Rep3";"gbm";"Accuracy";0.951851851851852
"Fold1.Rep4";"gbm";"Accuracy";0.944649446494465
"Fold1.Rep5";"gbm";"Accuracy";0.933333333333333
"Fold2.Rep1";"gbm";"Accuracy";0.959259259259259
"Fold2.Rep2";"gbm";"Accuracy";0.955555555555556
"Fold2.Rep3";"gbm";"Accuracy";0.948339483394834
"Fold2.Rep4";"gbm";"Accuracy";0.951851851851852
"Fold2.Rep5";"gbm";"Accuracy";0.962825278810409
"Fold3.Rep1";"gbm";"Accuracy";0.955555555555556
"Fold3.Rep2";"gbm";"Accuracy";0.974074074074074
"Fold3.Rep3";"gbm";"Accuracy";0.966666666666667
"Fold3.Rep4";"gbm";"Accuracy";0.940740740740741
"Fold3.Rep5";"gbm";"Accuracy";0.974074074074074
"Fold4.Rep1";"gbm";"Accuracy";0.910780669144981
"Fold4.Rep2";"gbm";"Accuracy";0.966789667896679
"Fold4.Rep3";"gbm";"Accuracy";0.940520446096654
"Fold4.Rep4";"gbm";"Accuracy";0.962962962962963
"Fold4.Rep5";"gbm";"Accuracy";0.937269372693727
"Fold5.Rep1";"gbm";"Accuracy";0.955555555555556
"Fold5.Rep2";"gbm";"Accuracy";0.922222222222222
"Fold5.Rep3";"gbm";"Accuracy";0.955555555555556
"Fold5.Rep4";"gbm";"Accuracy";0.944237918215613
"Fold5.Rep5";"gbm";"Accuracy";0.937037037037037
"Fold1.Rep1";"rf";"Accuracy";0.933579335793358
"Fold1.Rep2";"rf";"Accuracy";0.944237918215613
"Fold1.Rep3";"rf";"Accuracy";0.951851851851852
"Fold1.Rep4";"rf";"Accuracy";0.944649446494465
"Fold1.Rep5";"rf";"Accuracy";0.937037037037037
"Fold2.Rep1";"rf";"Accuracy";0.962962962962963
"Fold2.Rep2";"rf";"Accuracy";0.955555555555556
"Fold2.Rep3";"rf";"Accuracy";0.948339483394834
"Fold2.Rep4";"rf";"Accuracy";0.962962962962963
"Fold2.Rep5";"rf";"Accuracy";0.95910780669145
"Fold3.Rep1";"rf";"Accuracy";0.955555555555556
"Fold3.Rep2";"rf";"Accuracy";0.966666666666667
"Fold3.Rep3";"rf";"Accuracy";0.962962962962963
"Fold3.Rep4";"rf";"Accuracy";0.937037037037037
"Fold3.Rep5";"rf";"Accuracy";0.974074074074074
"Fold4.Rep1";"rf";"Accuracy";0.929368029739777
"Fold4.Rep2";"rf";"Accuracy";0.96309963099631
"Fold4.Rep3";"rf";"Accuracy";0.936802973977695
"Fold4.Rep4";"rf";"Accuracy";0.962962962962963
"Fold4.Rep5";"rf";"Accuracy";0.940959409594096
"Fold5.Rep1";"rf";"Accuracy";0.962962962962963
"Fold5.Rep2";"rf";"Accuracy";0.918518518518519
"Fold5.Rep3";"rf";"Accuracy";0.937037037037037
"Fold5.Rep4";"rf";"Accuracy";0.947955390334573
"Fold5.Rep5";"rf";"Accuracy";0.933333333333333
"Fold1.Rep1";"svm";"Accuracy";0.952029520295203
"Fold1.Rep2";"svm";"Accuracy";0.947955390334573
"Fold1.Rep3";"svm";"Accuracy";0.959259259259259
"Fold1.Rep4";"svm";"Accuracy";0.948339483394834
"Fold1.Rep5";"svm";"Accuracy";0.918518518518519
"Fold2.Rep1";"svm";"Accuracy";0.962962962962963
"Fold2.Rep2";"svm";"Accuracy";0.948148148148148
"Fold2.Rep3";"svm";"Accuracy";0.952029520295203
"Fold2.Rep4";"svm";"Accuracy";0.951851851851852
"Fold2.Rep5";"svm";"Accuracy";0.966542750929368
"Fold3.Rep1";"svm";"Accuracy";0.955555555555556
"Fold3.Rep2";"svm";"Accuracy";0.955555555555556
"Fold3.Rep3";"svm";"Accuracy";0.951851851851852
"Fold3.Rep4";"svm";"Accuracy";0.937037037037037
"Fold3.Rep5";"svm";"Accuracy";0.966666666666667
"Fold4.Rep1";"svm";"Accuracy";0.929368029739777
"Fold4.Rep2";"svm";"Accuracy";0.952029520295203
"Fold4.Rep3";"svm";"Accuracy";0.929368029739777
"Fold4.Rep4";"svm";"Accuracy";0.962962962962963
"Fold4.Rep5";"svm";"Accuracy";0.944649446494465
"Fold5.Rep1";"svm";"Accuracy";0.944444444444444
"Fold5.Rep2";"svm";"Accuracy";0.92962962962963
"Fold5.Rep3";"svm";"Accuracy";0.951851851851852
"Fold5.Rep4";"svm";"Accuracy";0.944237918215613
"Fold5.Rep5";"svm";"Accuracy";0.937037037037037
